Periodo; Custo Total; Custo GT; Custo Deficit Energia; Custo Deficit Capacidade; Custo Bombeamento; Custo Intercambio; Custo Penalidades GH; Custo Investimento
1; 373415256.99461114; 373415145.30915695; 0.0; 0.0; 0.0; 111.68545418697542; 0.0; 0.0
2; 373415251.424034; 373415145.309157; 0.0; 0.0; 0.0; 106.11487701147725; 0.0; 0.0
3; 373415249.99069357; 373415145.30915695; 0.0; 0.0; 0.0; 104.6815366183046; 0.0; 0.0
4; 373415234.27087677; 373415145.30915695; 0.0; 0.0; 0.0; 88.9617198486797; 0.0; 0.0
5; 373415234.8129122; 373415145.30915695; 0.0; 0.0; 0.0; 89.5037553114339; 0.0; 0.0
6; 373415224.7759971; 373415145.3091569; 0.0; 0.0; 0.0; 79.46684020740194; 0.0; 0.0
7; 373415215.04325736; 373415145.30915684; 0.0; 0.0; 0.0; 69.73410054682118; 0.0; 0.0
8; 373415219.32845235; 373415145.3091569; 0.0; 0.0; 0.0; 74.01929546630724; 0.0; 0.0
9; 373415233.4839687; 373415145.3091569; 0.0; 0.0; 0.0; 88.1748117877822; 0.0; 0.0
10; 440486699.6741672; 373415145.3091569; 0.0; 0.0; 0.0; 89.60903694627223; 67071464.75597335; 0.0
11; 377463143.48676836; 377463058.5491998; 0.0; 0.0; 0.0; 84.9375685563866; 0.0; 0.0
12; 373415229.3194698; 373415145.30915695; 0.0; 0.0; 0.0; 84.01031285494841; 0.0; 0.0
13; 401137076.1590628; 401136955.75039196; 0.0; 0.0; 0.0; 120.40867080961547; 0.0; 0.0
14; 393905779.62242883; 393905659.33737075; 0.0; 0.0; 0.0; 120.28505812250191; 0.0; 0.0
15; 393905770.78167135; 393905659.33737093; 0.0; 0.0; 0.0; 111.44430044585312; 0.0; 0.0
16; 393905760.2211855; 393905659.33737093; 0.0; 0.0; 0.0; 100.88381456894169; 0.0; 0.0
17; 393905751.5274876; 393905659.337371; 0.0; 0.0; 0.0; 92.19011657393779; 0.0; 0.0
18; 393905741.1503846; 393905659.33737075; 0.0; 0.0; 0.0; 81.81301385522903; 0.0; 0.0
19; 404293585.5596485; 393905659.3373709; 0.0; 0.0; 0.0; 77.20918592338849; 0.0; 10387849.01309172
20; 411451604.3910518; 401063677.276797; 0.0; 0.0; 0.0; 78.10116309406823; 0.0; 10387849.01309172
21; 421759278.90986764; 411371338.62624997; 0.0; 0.0; 0.0; 91.27052597012614; 0.0; 10387849.01309172
22; 563116216.5280215; 459432062.06969166; 26224749.890219018; 0.0; 0.0; 90.79904574854686; 67071464.75597335; 10387849.01309172
23; 848992258.8782232; 459443427.2378303; 379160896.5154453; 0.0; 0.0; 86.11185582252237; 0.0; 10387849.01309172
24; 420799757.2849266; 410411821.70798564; 0.0; 0.0; 0.0; 86.56384918827082; 0.0; 10387849.01309172
25; 444430919.2965598; 434042951.65665334; 0.0; 0.0; 0.0; 118.62681472105287; 0.0; 10387849.01309172
26; 405528741.45844233; 395140767.53227615; 0.0; 0.0; 0.0; 124.91307445324928; 0.0; 10387849.01309172
27; 405528735.50997496; 395140767.53227615; 0.0; 0.0; 0.0; 118.96460702845849; 0.0; 10387849.01309172
28; 405528722.7384448; 395140767.53227615; 0.0; 0.0; 0.0; 106.19307694161574; 0.0; 10387849.01309172
29; 405528713.1137527; 395140767.5322761; 0.0; 0.0; 0.0; 96.56838490241506; 0.0; 10387849.01309172
30; 407969887.7320631; 397581952.4322761; 0.0; 0.0; 0.0; 86.2866952504247; 0.0; 10387849.01309172
31; 420628806.79764974; 397581952.4322761; 0.0; 0.0; 0.0; 81.29090873230598; 0.0; 23046773.074464865
32; 431585074.274643; 408538220.0376741; 0.0; 0.0; 0.0; 81.16250398394978; 0.0; 23046773.074464865
33; 457015831.1562802; 433968961.9426629; 0.0; 0.0; 0.0; 96.13915246339666; 0.0; 23046773.074464865
34; 823762885.5952858; 462019907.88626164; 271624643.5287039; 0.0; 0.0; 96.34988195414415; 67071464.75597335; 23046773.074464865
35; 1144383369.1710806; 501915809.7717738; 619420696.0128107; 0.0; 0.0; 90.31203121458934; 0.0; 23046773.074464865
36; 488723545.50286835; 465676681.52490157; 0.0; 0.0; 0.0; 90.90350189112363; 0.0; 23046773.074464865
37; 596071868.5824332; 568072232.1721245; 0.0; 0.0; 0.0; 121.18957588059725; 0.0; 27999515.220732827
38; 422033097.2197743; 394033449.0103524; 0.0; 0.0; 0.0; 132.98868912246328; 0.0; 27999515.220732827
39; 422033092.78874856; 394033449.0103524; 0.0; 0.0; 0.0; 128.55766336039568; 0.0; 27999515.220732827
40; 393202425.9529038; 365202795.7947024; 0.0; 0.0; 0.0; 114.93746855862038; 0.0; 27999515.220732827
41; 350799469.4761808; 322799849.2048241; 0.0; 0.0; 0.0; 105.05062386666768; 0.0; 27999515.220732827
42; 302820750.03775424; 274821141.72939605; 0.0; 0.0; 0.0; 93.08762537260162; 0.0; 27999515.220732827
43; 314823507.15713835; 274842530.1766424; 0.0; 0.0; 0.0; 87.52028003113975; 0.0; 39980889.46021584
44; 327757824.61096513; 287776848.64576626; 0.0; 0.0; 0.0; 86.50498305742019; 0.0; 39980889.46021584
45; 393620772.0387447; 321124712.59902805; 0.0; 32515067.41678842; 0.0; 102.56271239397734; 0.0; 39980889.46021584
46; 1062545724.5282965; 339490540.79175705; 400083903.8552302; 215918823.7498841; 0.0; 101.91523601026327; 67071464.75597335; 39980889.46021584
47; 1486947107.960807; 697479600.4573057; 749486524.6514963; 0.0; 0.0; 93.39178938259681; 0.0; 39980889.46021584
48; 392568338.41289425; 352587349.5448463; 0.0; 0.0; 0.0; 99.40783205475643; 0.0; 39980889.46021584
49; 1088014457.596648; 823532023.469131; 0.0; 0.0; 0.0; 123.60121878683628; 0.0; 264482310.52629825
50; 552297904.9265847; 287815449.06142056; 0.0; 0.0; 0.0; 145.33886585683967; 0.0; 264482310.52629825
51; 533700945.3037004; 269218498.26225764; 0.0; 0.0; 0.0; 136.5151445506399; 0.0; 264482310.52629825
52; 533700934.010926; 269218498.26225764; 0.0; 0.0; 0.0; 125.22237013273003; 0.0; 264482310.52629825
53; 489268147.3676083; 224785724.92714506; 0.0; 0.0; 0.0; 111.9141649824378; 0.0; 264482310.52629825
54; 501547600.0632854; 237065190.28295907; 0.0; 0.0; 0.0; 99.2540280830795; 0.0; 264482310.52629825
55; 895636288.7084317; 631153890.4002532; 0.0; 0.0; 0.0; 87.78188020559472; 0.0; 264482310.52629825
56; 983388146.6575743; 718905751.0048368; 0.0; 0.0; 0.0; 85.1264392489993; 0.0; 264482310.52629825
57; 1013905828.7688488; 749423418.3762733; 0.0; 0.0; 0.0; 99.86627720538857; 0.0; 264482310.52629825
58; 1448597317.4811983; 772752938.8444693; 344290502.8498296; 0.0; 0.0; 100.50462771121147; 67071464.75597335; 264482310.52629825
59; 1743073087.5495443; 738178487.9622687; 740412192.4779847; 0.0; 0.0; 96.58299280236653; 0.0; 264482310.52629825
60; 642038210.8468567; 377555797.46592015; 0.0; 0.0; 0.0; 102.85463832260302; 0.0; 264482310.52629825
61; 1659195234.8708081; 1118905080.6286485; 0.0; 0.0; 0.0; 128.13309277935136; 0.0; 540290026.1090666
62; 1062861609.3662633; 522571433.4193286; 0.0; 0.0; 0.0; 149.83786803105886; 0.0; 540290026.1090666
63; 941708231.6814663; 401418062.26132905; 0.0; 0.0; 0.0; 143.31107061935526; 0.0; 540290026.1090666
64; 940015715.7450135; 399725556.1953737; 0.0; 0.0; 0.0; 133.44057310908246; 0.0; 540290026.1090666
65; 893434181.2581604; 353144036.93658423; 0.0; 0.0; 0.0; 118.21250951107629; 0.0; 540290026.1090666
66; 905575853.3164179; 365285723.69609404; 0.0; 0.0; 0.0; 103.51125715307305; 0.0; 540290026.1090666
67; 1392559549.6140728; 834158326.0562502; 0.0; 0.0; 0.0; 89.23578747995295; 0.0; 558401134.3220352
68; 1453494508.6530094; 895093287.2773995; 0.0; 0.0; 0.0; 87.05357473286135; 0.0; 558401134.3220352
69; 2707617835.9493823; 900870242.576669; 589006939.6199738; 659339419.0801759; 0.0; 100.35052823733321; 0.0; 558401134.3220352
70; 3634507168.666744; 905778284.4977964; 1189485825.024348; 913770358.8233539; 0.0; 101.24323715363943; 67071464.75597335; 558401134.3220352
