 NUMERO DE PATAMARES
 XX
  4
      DURACAO MENSAL DOS PATAMARES DE CARGA
ANO     JAN     FEV     MAR     ABR     MAI     JUN     JUL     AGO     SET     OUT     NOV     DEZ
XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX
2021  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137
      0.2229  0.2047  0.2229  0.2641  0.3089  0.3363  0.3573  0.3250  0.2780  0.2686  0.2085  0.2229
      0.2728  0.2615  0.2728  0.2222  0.1935  0.1958  0.1976  0.1949  0.2250  0.2231  0.2639  0.2728
      0.4906  0.5201  0.4906  0.5000  0.4839  0.4542  0.4314  0.4664  0.4833  0.4946  0.5139  0.4906
2022  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137
      0.2229  0.2047  0.2229  0.2641  0.3089  0.3363  0.3573  0.3250  0.2780  0.2686  0.2085  0.2229
      0.2728  0.2615  0.2728  0.2222  0.1935  0.1958  0.1976  0.1949  0.2250  0.2231  0.2639  0.2728
      0.4906  0.5201  0.4906  0.5000  0.4839  0.4542  0.4314  0.4664  0.4833  0.4946  0.5139  0.4906
2023  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137
      0.2229  0.2047  0.2229  0.2641  0.3089  0.3363  0.3573  0.3250  0.2780  0.2686  0.2085  0.2229
      0.2728  0.2615  0.2728  0.2222  0.1935  0.1958  0.1976  0.1949  0.2250  0.2231  0.2639  0.2728
      0.4906  0.5201  0.4906  0.5000  0.4839  0.4542  0.4314  0.4664  0.4833  0.4946  0.5139  0.4906
2024  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137
      0.2229  0.2047  0.2229  0.2641  0.3089  0.3363  0.3573  0.3250  0.2780  0.2686  0.2085  0.2229
      0.2728  0.2615  0.2728  0.2222  0.1935  0.1958  0.1976  0.1949  0.2250  0.2231  0.2639  0.2728
      0.4906  0.5201  0.4906  0.5000  0.4839  0.4542  0.4314  0.4664  0.4833  0.4946  0.5139  0.4906
2025  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137
      0.2229  0.2047  0.2229  0.2641  0.3089  0.3363  0.3573  0.3250  0.2780  0.2686  0.2085  0.2229
      0.2728  0.2615  0.2728  0.2222  0.1935  0.1958  0.1976  0.1949  0.2250  0.2231  0.2639  0.2728
      0.4906  0.5201  0.4906  0.5000  0.4839  0.4542  0.4314  0.4664  0.4833  0.4946  0.5139  0.4906
2026  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137
      0.2229  0.2047  0.2229  0.2641  0.3089  0.3363  0.3573  0.3250  0.2780  0.2686  0.2085  0.2229
      0.2728  0.2615  0.2728  0.2222  0.1935  0.1958  0.1976  0.1949  0.2250  0.2231  0.2639  0.2728
      0.4906  0.5201  0.4906  0.5000  0.4839  0.4542  0.4314  0.4664  0.4833  0.4946  0.5139  0.4906
2027  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137  0.0137
      0.2229  0.2047  0.2229  0.2641  0.3089  0.3363  0.3573  0.3250  0.2780  0.2686  0.2085  0.2229
